"name","handedness","height","weight","avg","HR","avg_scaled","HR_scaled","distance","distance_pctrank"
"Gorman Heimueller","L",76,195,0,0,0,0,63.143985979505,79.9999999999998
"Danny Cater","R",72,170,0.276,66,84.1463414634146,11.7229129662522,30.5825419901626,60.8695652173913
"Bill Schroeder","R",74,200,0.24,61,73.1707317073171,10.8348134991119,19.597628148983,29.8913043478261
"Clay Dalrymple","L",72,190,0.233,55,71.0365853658537,9.76909413854352,8.68756154682563,5.3968253968254
"Carlos May","L",71,200,0.274,90,83.5365853658537,15.9857904085258,22.0218819003524,59.9999999999998
"Reggie Smith","B",72,180,0.287,314,87.5,55.7726465364121,55.9516800229958,85.4368932038835
"Ron Reed","R",78,215,0.158,0,48.1707317073171,0,9.45916720889864,4.48369565217391
"Fred Howard","R",75,190,0,0,0,0,54.3765727865091,72.2826086956525
"Davey Johnson","R",73,170,0.261,136,79.5731707317073,24.1563055062167,30.6110012457156,61.0054347826087
"Ellis Valentine","R",76,205,0.278,123,84.7560975609756,21.8472468916519,34.0482161388357,65.3532608695653
"Roy White","B",70,160,0.271,160,82.6219512195122,28.4191829484902,30.3320788499831,80.5825242718446
"Mike Brumley","L",70,195,0.229,5,69.8170731707317,0.88809946714032,11.7589877886488,15.5555555555556
"Al Luplow","L",70,175,0.235,33,71.6463414634146,5.86145648312611,10.1637315241238,10.7936507936508
"John Hoover","R",74,190,0,0,0,0,54.3765727865091,72.2826086956525
"Dick Allen","R",71,187,0.292,351,89.0243902439024,62.3445825932504,65.100428685504,99.3206521739134
"Doug Ault","R",75,200,0.236,17,71.9512195121951,3.01953818827709,18.6658716031569,26.9021739130435
"Mark Wagner","R",72,165,0.243,3,74.0853658536585,0.532859680284192,21.4251553363314,36.4130434782608
"Mike Walters","R",77,203,0,0,0,0,54.3765727865091,72.2826086956525
"Willie Stargell","L",74,188,0.282,475,85.9756097560976,84.3694493783304,78.0571223218081,99.6825396825395
"Steve Carlton","L",76,210,0.201,13,61.280487804878,2.30905861456483,7.7385347323203,2.53968253968254
"Jake Wood","R",73,163,0.25,35,76.219512195122,6.21669626998224,22.4125984729056,40.0815217391303
"Del Unser","L",73,180,0.258,87,78.6585365853659,15.4529307282416,17.2032042715209,38.7301587301586
"Bob Brower","R",71,185,0.242,17,73.780487804878,3.01953818827709,20.4448964651485,33.1521739130434
"Ray Culp","R",72,200,0.123,1,37.5,0.177619893428064,17.9398000223839,23.9130434782609
"Ivan Murrell","R",74,195,0.236,33,71.9512195121951,5.86145648312611,18.1837319434087,25.0000000000001
"Lee Mazzilli","B",73,180,0.259,93,78.9634146341463,16.5186500888099,19.6824873902598,65.0485436893204
"Garth Iorg","R",71,170,0.258,20,78.6585365853659,3.55239786856128,25.133540059846,49.1847826086954
"Alan Ashby","B",74,185,0.245,90,74.6951219512195,15.9857904085258,15.9363353532648,51.4563106796116
"Bob Brenly","R",74,210,0.247,91,75.3048780487805,16.1634103019538,23.1154792828579,42.7989130434781
"Ron Blomberg","L",73,195,0.293,52,89.3292682926829,9.23623445825933,26.9879103753565,68.8888888888887
"Jim Rooker","R",72,195,0.201,7,61.280487804878,1.24333925399645,9.75848839337843,4.75543478260869
"Tim Blackwell","B",71,170,0.228,6,69.5121951219512,1.06571936056838,8.39820282132411,12.621359223301
"Colby Ward","R",74,185,0,0,0,0,54.3765727865091,72.2826086956525
"Jerry Morales","R",70,155,0.259,95,78.9634146341463,16.8738898756661,26.7849910899945,53.9402173913042
"Davey Lopes","R",69,170,0.263,155,80.1829268292683,27.5310834813499,33.0475723444992,64.2663043478262
"Catfish Hunter","R",72,190,0.226,6,68.9024390243902,1.06571936056838,16.3983655196673,18.3423913043479
"Mario Soto","R",72,174,0.132,1,40.2439024390244,0.177619893428064,15.4807320357271,16.7119565217392
"Jimmy Wynn","R",70,160,0.25,291,76.219512195122,51.6873889875666,49.4688990514636,71.7391304347829
"Hank Allen","R",72,190,0.241,6,73.4756097560976,1.06571936056838,20.6764869009636,34.1032608695652
"Jim Fregosi","R",73,190,0.265,151,80.7926829268293,26.8206039076377,33.1174542404252,64.6739130434784
"Pepe Frias","R",70,159,0.24,1,73.1707317073171,0.177619893428064,20.6876009094877,34.375
"Mike Schmidt","R",74,195,0.267,548,81.4024390243902,97.335701598579,93.9032061340943,100
"Willie Montanez","L",72,170,0.275,139,83.8414634146341,24.6891651865009,26.0457978408076,66.9841269841268
"Rey Quinones","R",71,160,0.243,29,74.0853658536585,5.15097690941385,20.3814036679613,32.6086956521739
"Mike Squires","L",71,185,0.26,6,79.2682926829268,1.06571936056838,19.1186447752409,47.3015873015872
"Champ Summers","L",74,205,0.255,54,77.7439024390244,9.59147424511545,15.3972131414319,30.1587301587301
"Chuck Porter","R",75,187,0,0,0,0,54.3765727865091,72.2826086956525
"Bert Campaneris","R",70,160,0.259,79,78.9634146341463,14.0319715808171,25.9347167161847,51.9021739130433
"Bobby Valentine","R",70,189,0.26,12,79.2682926829268,2.13143872113677,25.995196752061,52.0380434782607
"Rob Andrews","R",72,185,0.251,3,76.5243902439024,0.532859680284192,23.7425145991702,45.3804347826085
"Tom Haller","L",76,195,0.257,134,78.3536585365854,23.8010657193606,21.1490751099381,56.8253968253967
"Tom Dozier","R",74,190,0,0,0,0,54.3765727865091,72.2826086956525
"Ed Stroud","L",71,180,0.237,14,72.2560975609756,2.4866785079929,12.4157006402498,17.1428571428571
"Ron Swoboda","R",74,195,0.242,73,73.780487804878,12.9662522202487,20.6513890408874,33.9673913043478
"Harry Spilman","L",73,180,0.237,18,72.2560975609756,3.19715808170515,12.0006857631133,16.1904761904762
"Bob Barton","R",72,175,0.226,9,68.9024390243902,1.59857904085258,16.1945212049649,18.2065217391305
"Daryl Sconiers","L",74,185,0.265,15,80.7926829268293,2.66429840142096,19.8368148272172,51.111111111111
"Joe Torre","R",74,212,0.297,252,90.5487804878049,44.7602131438721,52.2528803874063,72.0108695652177
"Al Ferrara","R",73,200,0.259,51,78.9634146341463,9.05861456483126,25.1601233402911,49.4565217391302
"Rick Steirer","R",76,200,0,0,0,0,54.3765727865091,72.2826086956525
"Sixto Lezcano","R",70,165,0.271,148,82.6219512195122,26.2877442273535,34.3286454138182,65.8967391304349
"Al Lachowicz","R",75,198,0,0,0,0,54.3765727865091,72.2826086956525
"Dave Nicholson","R",74,215,0.212,61,64.6341463414634,10.8348134991119,11.2708894750144,5.70652173913043
"Freddie Patek","R",65,148,0.242,41,73.780487804878,7.28241563055062,19.9349237067237,31.25
"Ken Hubbs","R",74,175,0.247,14,75.3048780487805,2.4866785079929,22.0503544366226,38.7228260869564
"Pepe Mangual","R",70,157,0.242,16,73.780487804878,2.84191829484902,20.4851296671288,33.2880434782608
"Leron Lee","L",72,196,0.25,31,76.219512195122,5.50621669626998,14.5697395229998,26.031746031746
"Tom McCarthy","R",72,180,0,0,0,0,54.3765727865091,72.2826086956525
"Steve Ontiveros","B",72,185,0.274,24,83.5365853658537,4.26287744227353,21.0716404969756,68.9320388349514
"Willie Davis","L",74,180,0.279,182,85.0609756097561,32.3268206039076,31.8655188788988,73.3333333333331
"Tom Lawless","R",71,170,0.207,2,63.109756097561,0.355239786856128,11.7382899679695,6.25
"Jerry Moses","R",75,210,0.251,25,76.5243902439024,4.4404973357016,22.8912257510723,41.5760869565216
"Bobby Bonds","R",73,190,0.268,332,81.7073170731707,58.9698046181172,58.4677948710383,98.7771739130438
"Dave McNally","R",71,185,0.133,9,40.5487804878049,1.59857904085258,14.5764239084633,13.8586956521739
"Darrell Brown","B",72,184,0.274,1,83.5365853658537,0.177619893428064,21.7375859968708,69.9029126213592
"Roy Foster","R",72,185,0.253,45,77.1341463414634,7.99289520426288,23.2904673617213,43.3423913043477
"Denis Menke","R",72,185,0.25,101,76.219512195122,17.9396092362345,24.6598511061807,48.0978260869563
"Hal Breeden","R",74,200,0.243,21,74.0853658536585,3.73001776198934,20.5981781508532,33.695652173913
"Manny Trillo","R",73,150,0.263,61,80.1829268292683,10.8348134991119,26.5373934005066,53.8043478260868
"Jackie Gutierrez","R",71,175,0.237,4,72.2560975609756,0.710479573712256,19.643722392326,30.2989130434783
"Jerry Kenney","L",73,170,0.237,7,72.2560975609756,1.24333925399645,13.202723898415,19.047619047619
"Fred Kendall","R",73,185,0.234,31,71.3414634146341,5.50621669626998,17.6147600768997,22.6902173913044
"Mike Anderson","R",74,200,0.246,28,75,4.97335701598579,21.3107502130525,36.0054347826086
"Jim Lewis","R",75,190,0,0,0,0,54.3765727865091,72.2826086956525
"Joe Charboneau","R",74,205,0.266,29,81.0975609756098,5.15097690941385,27.3568094101363,54.8913043478259
"Jimmie Schaffer","R",69,170,0.223,11,67.9878048780488,1.9538188277087,15.2133476102796,16.0326086956522
"Junior Kennedy","R",71,175,0.248,4,75.609756097561,0.710479573712256,22.8165418120092,41.3043478260868
"Wilbur Howard","B",74,170,0.25,6,76.219512195122,1.06571936056838,14.4702217934125,41.747572815534
"Rod Gilbreath","R",74,180,0.248,14,75.609756097561,2.4866785079929,22.3471429089614,39.8097826086955
"Mark Brouhard","R",73,210,0.259,25,78.9634146341463,4.4404973357016,25.3095953078046,50.2717391304345
"Dan Morogiello","L",73,200,0,0,0,0,63.143985979505,79.9999999999998
"Mike Young","B",74,195,0.247,72,75.3048780487805,12.7886323268206,14.6186351280252,42.7184466019417
"Chris Speier","R",73,175,0.246,112,75,19.8934280639432,24.4822846745999,47.5543478260867
"Gene Michael","B",74,183,0.229,15,69.8170731707317,2.66429840142096,7.91190564571353,9.70873786407767
"Vic Harris","B",71,165,0.217,13,66.1585365853659,2.30905861456483,4.9840293523493,3.88349514563107
"Mike Fischlin","R",73,165,0.22,3,67.0731707317073,0.532859680284192,14.979507215407,15.2173913043479
"Don Money","R",73,170,0.261,176,79.5731707317073,31.2611012433393,34.9749690654552,66.7119565217393
"Joe Rudi","R",74,200,0.264,179,80.4878048780488,31.7939609236234,36.0094424005474,67.1195652173915
"Jim Rice","R",74,200,0.298,382,90.8536585365854,67.8507992895204,70.7366105580292,99.7282608695655
"Shawn Holman","R",74,185,0,0,0,0,54.3765727865091,72.2826086956525
"Alan Wirth","R",76,190,0,0,0,0,54.3765727865091,72.2826086956525
"Gil Garrido","R",69,150,0.237,1,72.2560975609756,0.177619893428064,19.8359816717391,30.9782608695652
"Marty Perez","R",71,160,0.246,22,75,3.90763765541741,21.4664987919908,36.9565217391304
"Tom Matchick","L",73,173,0.215,4,65.5487804878049,0.710479573712256,9.79897169004176,9.52380952380953
"Jack Perconte","L",70,160,0.27,2,82.3170731707317,0.355239786856128,22.1614790343412,60.3174603174602
